id,difficulty,source_year,question,week4_baseline_judgement,week5_basic_answer_correctness,week5_basic_label,baseline_vs_basic_match,week4_hybrid_judgement,week5_advanced_answer_correctness,week5_advanced_label,hybrid_vs_advanced_match,week4_hybrid_rerank_judgement,week4_baseline_error_reason,week4_hybrid_error_reason,week4_hybrid_rerank_error_reason,notes
q01,,2025,2025년 의료급여에서 제1차의료급여기관은 어떤 기관들을 말하는가?,X,0.10081827357837628,오답,일치,X,0.10860686928594272,오답,일치,X,retrieval_miss,retrieval_miss,retrieval_miss,
q02,,2026,2026년 의료급여에서 제1차의료급여기관은 어떤 기관들을 말하는가?,X,0.3305777194462326,오답,일치,X,0.10244471548580254,오답,일치,X,retrieval_miss,retrieval_miss,retrieval_miss,
q03,,2025,2025년 의료급여에서 의료급여의뢰서는 발급받은 날부터 언제까지 제출해야 하는가?,O,0.6876450096680848,정답,일치,O,0.7950522757587257,정답,일치,O,,,,
q04,,2026,2026년 의료급여에서 의료급여의뢰서는 발급받은 날부터 언제까지 제출해야 하는가?,O,,N/A,N/A,O,0.7947174960754961,정답,일치,O,,,,
q05,,2025,2025년 의료급여에서 절차를 지키지 않고 의료급여기관을 이용하면 진료비는 어떻게 되는가?,O,0.4732409307014029,오답,불일치,X,0.8025293338175544,정답,불일치,X,,retrieval_miss,retrieval_miss,
q06,,2026,2026년 의료급여에서 절차를 지키지 않고 의료급여기관을 이용하면 진료비는 어떻게 되는가?,O,0.6974379818367304,정답,일치,O,,N/A,N/A,O,,,,
q07,,2025,2025년 의료급여에서 1종 수급권자의 제1차의료급여기관 외래 본인부담금은 얼마인가?,O,,N/A,N/A,O,0.6180307988591673,정답,일치,O,,,,
q08,,2026,2026년 의료급여에서 1종 수급권자의 제1차의료급여기관 외래 본인부담금은 얼마인가?,O,,N/A,N/A,O,0.6229534787817366,정답,일치,O,,,,
q09,,2025,2025년 의료급여에서 2종 수급권자의 제2차 또는 제3차의료급여기관 외래 본인부담률은 얼마인가?,O,0.6055227501589944,정답,일치,X,0.062232724215057544,오답,일치,X,,generation_miss,generation_miss,
q10,,2026,2026년 의료급여에서 2종 수급권자의 제2차 또는 제3차의료급여기관 외래 본인부담률은 얼마인가?,O,0.6999463013385389,정답,일치,X,0.047522852280900994,오답,일치,X,,generation_miss,generation_miss,
q11,,2025,2025년 의료급여에서 15세 이하 아동이 의료급여의뢰서 없이 제2차의료급여기관에서 진료받을 수 있는가?,O,0.21572072750764723,오답,불일치,O,0.7215765348204621,정답,일치,O,,,,
q12,,2026,2026년 의료급여에서 15세 이하 아동이 의료급여의뢰서 없이 제2차의료급여기관에서 진료받을 수 있는가?,O,,N/A,N/A,O,0.8636805018989322,정답,일치,O,,,,
q13,,2025,2025년 의료급여에서 등록 장애인이 제2차의료급여기관에서 진료받을 때 제1차의료급여기관의 의뢰서가 필요한가?,O,,N/A,N/A,O,,N/A,N/A,O,,,,
q14,,2026,2026년 의료급여에서 등록 장애인이 제2차의료급여기관에서 진료받을 때 제1차의료급여기관의 의뢰서가 필요한가?,O,0.20487166087479686,오답,불일치,O,,N/A,N/A,O,,,,
q15,,2025,2025년 의료급여에서 장기지속형 주사제의 본인부담률은 얼마인가?,X,0.09621031576568886,오답,일치,O,0.41888760974133105,오답,불일치,O,generation_miss,,,
q16,,2026,2026년 의료급여에서 장기지속형 주사제의 본인부담률은 얼마인가?,X,0.022937796126052623,오답,일치,O,,N/A,N/A,O,generation_miss,,,
q17,,2025,2025년 문서에서 국가건강검진 후 확진검사 의료급여 적용에 추가된 정신건강 관련 질환은 무엇인가?,X,0.1379632179810566,오답,일치,O,,N/A,N/A,O,retrieval_miss,,,
q18,,2026,2026년 문서에서 국가건강검진 후 확진검사 의료급여 적용에 추가된 질환은 무엇인가?,O,0.827031105452236,정답,일치,O,,N/A,N/A,O,,,,
q19,,2025,2025년 문서에서 노숙인진료시설 지정 확대의 유효기간은 언제까지인가?,O,0.5900746850949207,정답,일치,O,,N/A,N/A,X,,,llm_generation_failed,
q20,,2026,2026년 문서에서 노숙인진료시설 지정 확대의 유효기간은 언제까지인가?,X,0.11674648160691573,오답,일치,O,,N/A,N/A,X,llm_generation_failed,,llm_generation_failed,
