id,difficulty,source_year,basic_context_recall,advanced_context_recall,basic_llm_context_precision_with_reference,advanced_llm_context_precision_with_reference,basic_faithfulness,advanced_faithfulness,basic_response_relevancy,advanced_response_relevancy,basic_answer_correctness,advanced_answer_correctness
q01,,2025,0.0,0.0,0.0,0.0,0.5,,0.0,0.0,0.10081827357837628,0.10860686928594272
q02,,2026,0.0,0.0,0.0,0.0,0.5,0.5,0.9653923266010783,0.0,0.3305777194462326,0.10244471548580254
q03,,2025,1.0,1.0,0.49999999995,,1.0,1.0,0.9669625385374977,,0.6876450096680848,0.7950522757587257
q04,,2026,1.0,1.0,0.499999999975,,0.6666666666666666,0.6666666666666666,0.9606733551403663,,,0.7947174960754961
q05,,2025,1.0,1.0,0.3333333333,0.9999999999,0.75,,0.8757337521264459,0.9201954284650485,0.4732409307014029,0.8025293338175544
q06,,2026,1.0,1.0,0.249999999975,0.3333333333,0.75,0.8333333333333334,0.9779767944337022,,0.6974379818367304,
q07,,2025,1.0,1.0,,0.49999999995,0.6666666666666666,,,,,0.6180307988591673
q08,,2026,1.0,1.0,0.9999999999,0.3333333333,,0.5,,,,0.6229534787817366
q09,,2025,1.0,0.0,0.3333333333,0.0,,0.75,,,0.6055227501589944,0.062232724215057544
q10,,2026,1.0,0.0,0.3333333333,0.0,0.6666666666666666,0.5,0.9954973698059293,,0.6999463013385389,0.047522852280900994
q11,,2025,0.0,1.0,,0.9999999999,0.75,1.0,,,0.21572072750764723,0.7215765348204621
q12,,2026,0.0,1.0,,,0.8333333333333334,,0.9515007055198161,,,0.8636805018989322
q13,,2025,0.5,1.0,0.9999999999,,0.75,,,,,
q14,,2026,0.3333333333333333,1.0,0.0,,0.75,,,,0.20487166087479686,
q15,,2025,0.0,1.0,,0.3333333333,,0.4444444444444444,,,0.09621031576568886,0.41888760974133105
q16,,2026,0.0,,,,0.5833333333333334,0.5454545454545454,,,0.022937796126052623,
q17,,2025,0.0,1.0,0.0,,0.5,0.7692307692307693,,,0.1379632179810566,
q18,,2026,1.0,1.0,0.9999999999,,0.75,,,,0.827031105452236,
q19,,2025,1.0,1.0,0.249999999975,,0.8,,0.9662144321270274,,0.5900746850949207,
q20,,2026,0.0,1.0,0.0,,0.5,,0.0,,0.11674648160691573,
